0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
82,33,26,17,17,35,135,271,482,243,113,86,289,121,97,111,103,108,135,131,117,122,118,100
73,43,32,18,22,51,158,305,464,287,110,99,257,136,107,117,92,139,141,150,137,143,134,115
86,50,21,18,23,49,188,372,578,296,111,103,307,142,120,146,93,136,158,164,126,156,142,124
94,50,43,27,28,54,168,350,569,335,157,116,320,165,130,139,128,175,173,164,174,163,147,135
115,62,36,23,26,55,180,339,569,317,159,118,333,146,124,138,135,128,173,203,172,159,160,173
